#step   T      Ekin       Ethermo     E_LJ      E_LJ_corr   E_LJ_tot   Econs
9100000  313.7  1.669E+02  1.404E+01  -1.370E+01  -6.168E-01  -1.432E+01  1.386E+02
9200000  315.1  1.677E+02  1.488E+01  -1.363E+01  -6.168E-01  -1.425E+01  1.386E+02
9300000  315.0  1.676E+02  1.488E+01  -1.358E+01  -6.168E-01  -1.419E+01  1.386E+02
9400000  314.6  1.674E+02  1.488E+01  -1.335E+01  -6.168E-01  -1.397E+01  1.386E+02
9500000  313.5  1.668E+02  1.488E+01  -1.275E+01  -6.168E-01  -1.337E+01  1.386E+02
9600000  312.1  1.661E+02  1.523E+01  -1.167E+01  -6.168E-01  -1.229E+01  1.386E+02
9700000  298.2  1.587E+02  8.787E+00  -1.070E+01  -6.168E-01  -1.132E+01  1.386E+02
9800000  297.1  1.581E+02  8.787E+00  -1.013E+01  -6.168E-01  -1.074E+01  1.386E+02
9900000  296.4  1.577E+02  8.787E+00  -9.732E+00  -6.168E-01  -1.035E+01  1.386E+02
10000000  283.3  1.507E+02  2.280E+00  -9.289E+00  -6.168E-01  -9.906E+00  1.386E+02
10100000  302.8  1.611E+02  1.258E+01  -9.387E+00  -6.168E-01  -1.000E+01  1.386E+02
10200000  294.6  1.567E+02  7.944E+00  -9.623E+00  -6.168E-01  -1.024E+01  1.386E+02
10300000  302.5  1.609E+02  1.181E+01  -9.956E+00  -6.168E-01  -1.057E+01  1.386E+02
10400000  294.9  1.569E+02  7.380E+00  -1.034E+01  -6.168E-01  -1.096E+01  1.386E+02
10500000  303.4  1.615E+02  1.136E+01  -1.092E+01  -6.168E-01  -1.154E+01  1.386E+02
10600000  298.4  1.588E+02  7.801E+00  -1.183E+01  -6.168E-01  -1.244E+01  1.386E+02
10700000  300.3  1.598E+02  7.801E+00  -1.283E+01  -6.168E-01  -1.345E+01  1.386E+02
10800000  302.2  1.608E+02  7.801E+00  -1.384E+01  -6.168E-01  -1.446E+01  1.386E+02
10900000  303.7  1.616E+02  7.801E+00  -1.464E+01  -6.168E-01  -1.526E+01  1.386E+02
11000000  309.2  1.645E+02  1.011E+01  -1.522E+01  -6.168E-01  -1.584E+01  1.386E+02
11100000  319.2  1.699E+02  1.505E+01  -1.562E+01  -6.168E-01  -1.624E+01  1.386E+02
11200000  316.8  1.686E+02  1.352E+01  -1.590E+01  -6.168E-01  -1.652E+01  1.386E+02
11300000  326.8  1.739E+02  1.861E+01  -1.610E+01  -6.168E-01  -1.672E+01  1.386E+02
11400000  328.3  1.747E+02  1.925E+01  -1.627E+01  -6.168E-01  -1.689E+01  1.386E+02
